Spring,aquifer,Cd_con,logged_cd,Type1industry,Type2industry,type3industry,type4industry,type5industry,type6industry,type7industry,type8industry,type9industry,Total_industry,MSWdumps,Multipledumps,Total_dump,burningdump ,NoBurningdump,Operational,Non_operational,Type1agri,Type2agri,type3agri,type4agri,type5agri,type6agri,type7agri,type8agri,type9agri,type10agri,type11agri,type12agri,type13agri,type14agri,type15agri,Total_agri,Mean_disindustry,Median_disindustry,Min_disindustry,Max_disindustry,Mean_yrs,Median_yrs,Min_yrs,Max_yrs,Mean_volume,Median_volume,Min_volume,Max_volume,Mean_area,Median_area,Min_area,Max_area,Mean_distdump,Median_distdump,Min_distdump,Max_distdump,Mean_areaagri,Median_areaagri,Min_areaagri,Max_areaagri,Mean_distagri,Median_distagri,Min_distagri,Max_distagri,Distance_Zouk,Slope,Precipitation,Traffic,SlopeInd
Bzebdine,27b,17.5636,2.87,1,0,0,0,0,5,3,1,0,10,10,2,12,1,11,10,2,27,7,0,8,746,342,65,397,5,0,37,81,19,2,45,1781,11205.57,12664.44,1894.57,15148.84,6.67,3,3,23,996.87,200,10,5100,1029.17,300,20,5100,10856.99,11373.5,2447.22,24156.75,22754.45,5146,236,1965571,12177.41,12212.98,218.8,27256.72,33.6,-0.78,1500,1,-0.69
Kammatieh,28,20.9895,3.04,2,5,3,2,0,5,10,7,2,36,15,4,19,2,17,16,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,8813.09,4048.36,2509.29,36599.09,4.95,3,3,18,1992.11,1000,15,20000,1212.37,500,15,10000,11755.17,10210.58,1591.63,32765.68,24059.8,4285.5,91,3957842,17115.56,12283.63,43.64,49077.54,28.4,-0.69,1200,1,-0.89
Ain El remmeneh,26b,22.3409,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,28,76,84,56,3,1,15,8,0,2,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19011.42,5407,207,668009,5467.44,5747.14,421.62,11868.82,27.2,-0.86,1200,1,-0.86
Mghayreh,28,25.162,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24059.8,4285.5,91,3957842,38566.59,43506.8,166.83,64649.07,45.1,-1.01,900,2,-1.14
Hrajel,28,36.515,3.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,6517.81,6517.81,6517.81,6517.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24059.8,4285.5,91,3957842,30798.66,32741.57,480.42,53589.79,25.5,-1.06,1500,0,-1.08
Majd el Baana,28,41.2706,3.72,0,2,0,0,0,0,3,2,0,7,2,2,4,1,3,3,1,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,14974.06,3051.76,1804.7,35471.61,6.75,3,3,18,1250,1250,1000,1500,812.5,875,500,1000,11844.63,6671.57,3993.38,30042.01,24059.8,4285.5,91,3957842,16164.3,13278.58,134.06,47209.44,40.5,-0.66,1500,2,-0.92
kfarhim,28,56.9895,4.04,2,6,4,3,5,11,7,2,0,40,22,4,26,3,23,23,3,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,17397.4,15407.89,5309.18,49406.49,4.81,3,3,18,2074.3,980,1.8,20000,1515.42,500,6,10000,14934.58,11997.64,3495.76,45268.48,24059.8,4285.5,91,3957842,21453.31,14451.74,136.62,61832.99,50.7,-0.8,1200,2,-0.8
Ghbele,28,61.8525,4.12,0,2,0,0,0,0,1,0,0,3,2,1,3,0,3,2,1,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,8606.61,4965.55,4781.45,16072.84,8,3,3,18,1333.33,1500,1000,1500,916.67,1000,750,1000,20832.85,28147.8,6061.23,28289.53,24059.8,4285.5,91,3957842,30949.31,32340.75,174.25,55031.72,22.5,-0.82,1500,2,-0.77
torzayya,28,71.8356,4.27,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,18395.33,18395.33,18395.33,18395.33,18,18,18,18,1500,1500,1500,1500,750,750,750,750,7591.4,7591.4,7591.4,7591.4,24059.8,4285.5,91,3957842,34937.52,38251.72,55.82,60728.32,31.9,-0.86,1500,2,-0.82
Ain saadeh,27b,103.4527,4.64,1,0,0,0,1,4,3,1,0,10,10,2,12,1,11,10,2,27,7,0,8,746,342,65,397,5,0,37,81,19,2,45,1781,7544.53,5128.52,745.74,15815.69,6.67,3,3,23,996.87,200,10,5100,1029.17,300,20,5100,12952.2,11171.73,6643.92,18731.1,22754.45,5146,236,1965571,14814.36,14820.03,184.56,24351.7,17.2,-1.15,1200,2,-0.48
Faraya,28,137.2597,4.92,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,32,0,25,1317,963,122,952,51,5,106,221,47,13,91,3980,7017.31,7017.31,7017.31,7017.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24059.8,4285.5,91,3957842,30292.45,32196.2,102.1,53168.36,28.8,-1.32,1500,3,-1.33
